! [  1] WCX=-8.635627e-03
!! [  1] WCX=-5.449320e+00
!!! [  1] WCX=-5.449320e+00
" [  1] WIQ=-3.650989e-01
% [  1] YSX=-6.794587e+00
& [  1] CC=-6.293923e+00
' [  1] WIQ=-6.671936e+00
'97 [  1] MCSX=-9.675143e+00
'Heil [  1] X=-5.458166e+00
'Kuulge [  1] VMK=-8.566174e+00
( [  1] WOB=-2.327638e-02
(?) [  1] WOB=-8.600246e+00
(CO2) [  1] YSX=-8.586346e+00
(CO3) [  1] YSX=-8.586346e+00
(CO3)2 [  1] YSX=-8.586346e+00
(CO3)3 [  1] YSX=-8.586346e+00
(PO4)3 [  1] YSX=-8.586346e+00
) [  1] WCB=-1.691543e-02
* [  1] X=-2.919192e+00
** [  1] X=-5.863631e+00
*** [  1] X=-6.556778e+00
**** [  1] X=-5.863631e+00
***** [  1] X=-5.863631e+00
*1/2 [  1] MCSX=-9.675143e+00
*Neitsilikkuse [  1] NCSG=-1.079253e+01
+ [  1] X=-5.458166e+00
+14,3 [  1] MCSX=-9.675143e+00
+4,9 [  1] MCSX=-9.675143e+00
+5 [  1] MCSX=-9.675143e+00
+7 [  1] MCSX=-9.675143e+00
+91 [  1] MCSX=-9.675143e+00
, [  1] WIC=0.000000e+00
- [  1] WID=-4.541671e-02
-- [  1] WID=-3.524398e+00
-. [  1] WID=-4.204300e+00
-10 [  1] MCSX=-8.981996e+00
-12 [  1] MCSX=-9.675143e+00
-13 [  1] MCSX=-9.675143e+00
-15 [  1] MCSX=-9.675143e+00
-16 [  1] MCSX=-9.675143e+00
-19 [  1] MCSX=-9.675143e+00
-20 [  1] MCSX=-8.981996e+00
-3 [  1] MCSX=-9.675143e+00
-4 [  1] MCSX=-8.981996e+00
-43,5° [  1] YSX=-8.586346e+00
-5 [  1] MCSX=-9.675143e+00
-5,3 [  1] MCSX=-9.675143e+00
-51 [  1] MCSX=-9.675143e+00
-57 [  1] MCSX=-9.675143e+00
-6 [  1] MCSX=-9.675143e+00
-719 [  1] MCSX=-9.675143e+00
-81 [  1] MCSX=-9.675143e+00
-91 [  1] MCSX=-9.675143e+00
-Mitte [  1] RR=-1.030622e+01
-administraatorid [  1] NCSN=-1.068077e+01
-allikate [  1] NCSG=-1.079253e+01
-asutuse [  1] NCSG=-1.079253e+01
-asutuses [  1] NCSA=-1.050477e+01
-autode [  1] NCSG=-1.079253e+01
-d [  1] YSX=-8.586346e+00
-eelsesse [  1] ASA=-8.591929e+00
-eelsest [  1] ASA=-8.591929e+00
-eelsetest [  1] ASA=-8.591929e+00
-etappides [  1] NCSA=-9.811619e+00
-haritlased [  1] NCSN=-1.068077e+01
-hingamisel [  1] NCSA=-1.050477e+01
-i [  1] X=-6.556778e+00
-juhendid [  1] NCSN=-1.068077e+01
-juriidilised [  1] ASN=-9.564583e+00
-juurte [  1] NCSG=-1.079253e+01
-kaks [  1] MCSN=-6.767343e+00
-karpi [  1] NCS1=-1.005702e+01
-kastist [  1] NCSA=-1.050477e+01
-kelku [  1] NCS1=-1.005702e+01
-kimpudele [  1] NCSA=-1.050477e+01
-kobarad [  1] NCSN=-1.068077e+01
-kogujannad [  1] NCSN=-1.068077e+01
-koht [  1] NCSN=-1.068077e+01
-kohustused [  1] NCSN=-9.582157e+00
-kohustusi [  1] NCS1=-8.958411e+00
-kohustuste [  1] NCSG=-9.693918e+00
-kunstnikud [  1] NCSN=-1.068077e+01
-kuraatorid [  1] NCSN=-1.068077e+01
-kuu [  1] NCSG=-1.079253e+01
-liitrise [  1] ASG=-9.286468e+00
-liitudesse [  1] NCSA=-9.811619e+00
-mahutite [  1] NCSG=-1.079253e+01
-majanduse [  1] NCSG=-1.079253e+01
-määrus [  1] NCSN=-9.987622e+00
-määruse [  1] NCSG=-9.693918e+00
-määruste [  1] NCSG=-1.079253e+01
-nimeline [  1] ASN=-8.465970e+00
-nimelise [  1] ASG=-9.286468e+00
-nimelisele [  1] ASA=-8.591929e+00
-oskused [  1] NCSN=-1.068077e+01
-oskusi [  1] NCS1=-1.005702e+01
-päeva [  1] NCSG=-1.079253e+01
-põllul [  1] NCSA=-1.050477e+01
-põõsad [  1] NCSN=-1.068077e+01
-põõsaste [  1] NCSG=-1.079253e+01
-ribades [  1] NCSA=-1.050477e+01
-roheline [  1] ASN=-9.564583e+00
-rütmiga [  1] NCS=-9.442007e+00
-saatusega [  1] NCS=-9.442007e+00
-sirutused [  1] NCSN=-1.068077e+01
-suuski [  1] NCS1=-1.005702e+01
-sõduri [  1] NCSG=-1.079253e+01
-taoline [  1] ASN=-9.564583e+00
-teoreetik [  1] NCSN=-1.068077e+01
